"Time","Event Type","Sensor","Message"
"Apr 4, 2019 14:15:31 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:15:31 204.68.194.200 named[21493]: 04-Apr-2019 10:15:31.833 queries: info: client 152.122.1.6#57270 (www.wikipedia.org): query: www.wikipedia.org IN A +ED (204.68.194.200)"
"Apr 4, 2019 14:15:31 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:15:31 204.68.194.100 named[24211]: 04-Apr-2019 14:15:31.849 queries: info: client 152.122.1.6#20156 (www.wikipedia.org): query: www.wikipedia.org IN A +ED (204.68.194.100)"
"Apr 4, 2019 14:17:21 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:17:21 152.120.3.200 named[21871]: 04-Apr-2019 10:17:21.986 queries: info: client 152.120.154.55#61839 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:17:21 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:17:21 152.120.3.200 named[21871]: 04-Apr-2019 10:17:21.988 queries: info: client 152.120.154.55#63814 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:19:22 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:19:22 152.120.3.200 named[21871]: 04-Apr-2019 10:19:22.573 queries: info: client 152.120.94.62#56923 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:21:03 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:21:03 152.120.3.200 named[21871]: 04-Apr-2019 10:21:03.928 queries: info: client 152.120.156.137#51704 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:21:03 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:21:03 152.120.3.200 named[21871]: 04-Apr-2019 10:21:03.988 queries: info: client 152.120.156.137#56869 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:21:46 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:21:46 152.120.3.200 named[21871]: 04-Apr-2019 10:21:46.814 queries: info: client 152.120.64.92#63924 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:21:46 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:21:46 152.120.3.200 named[21871]: 04-Apr-2019 10:21:46.815 queries: info: client 152.120.64.92#53889 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:22:20 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:22:20 152.120.3.200 named[21871]: 04-Apr-2019 10:22:20.427 queries: info: client 152.120.136.58#50965 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:22:20 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:22:20 152.120.3.200 named[21871]: 04-Apr-2019 10:22:20.400 queries: info: client 152.120.136.58#57532 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:23:24 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:23:24 152.120.3.200 named[21871]: 04-Apr-2019 10:23:24.063 queries: info: client 152.120.94.62#49993 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
