"Time","Event Type","Sensor","Message"
"Apr 4, 2019 14:39:52 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:39:52 152.120.2.200 named[8062]: 04-Apr-2019 10:39:52.495 queries: info: client 152.119.116.29#63086 (arstechnica.com): query: arstechnica.com IN A +EDC (152.120.2.200)"
"Apr 4, 2019 14:39:52 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:39:52 152.120.2.200 named[8062]: 04-Apr-2019 10:39:52.533 queries: info: client 152.119.117.8#60925 (arstechnica.com): query: arstechnica.com IN A +ED (152.120.2.200)"
"Apr 4, 2019 14:39:53 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:39:53 152.120.2.200 named[8062]: 04-Apr-2019 10:39:53.798 queries: info: client 152.119.116.29#57514 (arstechnica.com.ssl.d1.sc.omtrdc.net): query: arstechnica.com.ssl.d1.sc.omtrdc.net IN A +EDC (152.120.2.200)"
"Apr 4, 2019 14:39:53 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:39:53 152.120.2.200 named[8062]: 04-Apr-2019 10:39:53.836 queries: info: client 152.119.117.8#61708 (arstechnica.com.ssl.d1.sc.omtrdc.net): query: arstechnica.com.ssl.d1.sc.omtrdc.net IN A +ED (152.120.2.200)"
"Apr 4, 2019 14:41:46 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:41:46 152.120.3.200 named[21871]: 04-Apr-2019 10:41:46.040 queries: info: client 152.119.116.29#51084 (arstechnica.com): query: arstechnica.com IN A +EDC (152.120.3.200)"
"Apr 4, 2019 14:41:46 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:41:46 152.120.2.200 named[8062]: 04-Apr-2019 10:41:46.076 queries: info: client 152.119.117.8#62682 (arstechnica.com): query: arstechnica.com IN A +ED (152.120.2.200)"
"Apr 4, 2019 14:46:39 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:46:39 152.120.2.200 named[8062]: 04-Apr-2019 10:46:39.546 queries: info: client 152.119.232.78#57886 (arstechnica.com): query: arstechnica.com IN A + (152.120.2.200)"
"Apr 4, 2019 14:46:39 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:46:39 152.120.3.200 named[21871]: 04-Apr-2019 10:46:39.653 queries: info: client 152.119.232.78#57886 (arstechnica.com): query: arstechnica.com IN A + (152.120.3.200)"
"Apr 4, 2019 14:46:39 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:46:39 152.120.2.200 named[8062]: 04-Apr-2019 10:46:39.681 queries: info: client 152.119.232.78#52431 (arstechnica.com): query: arstechnica.com IN A + (152.120.2.200)"
"Apr 4, 2019 14:46:45 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:46:45 152.120.2.200 named[8062]: 04-Apr-2019 10:46:45.075 queries: info: client 152.119.232.78#60524 (sstats.arstechnica.com): query: sstats.arstechnica.com IN A + (152.120.2.200)"
