"Time","Event Type","Sensor","Message"
"Apr 4, 2019 14:10:20 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:10:20 152.120.3.200 named[21871]: 04-Apr-2019 10:10:20.760 queries: info: client 152.120.120.143#55623 (www.cybrary.it): query: www.cybrary.it IN A + (152.120.3.200)"
"Apr 4, 2019 14:10:20 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:10:20 152.120.4.100 named[7604]: 04-Apr-2019 10:10:20.821 queries: info: client 152.120.120.143#55623 (www.cybrary.it): query: www.cybrary.it IN A + (152.120.4.100)"
